,dominant_topic,original_text,topic_perc_contrib,tokens,num_tokens,unique_tokens,num_unique_tokens,keywords
15818,h,"['seat', '321', 'v3', 'power', 'outlets', 'hour', 'ride', 'phx', 'ac', 'n152uw']",0.635699987411499,"['seat', '12_hour_flight', 'injury', 'right_leg', 'stand', '39b', 'position', 'seat_reclined', 'sleep_comfortably', 'inconvenience', 'passenger', 'definitely_use']",12,"['39b', 'seat', '12_hour_flight', 'passenger', 'stand', 'position', 'right_leg', 'inconvenience', 'injury', 'seat_reclined', 'sleep_comfortably', 'definitely_use']",12,"flight, plane, food, service, passenger, economy, staff, airline, crew, aircraft"
23103,d,"['pleased', 'comfort', 'seats', 'legroom', 'access', 'lights', 'service', 'button', 'tv', 'console', 'lighting', 'general', 'plane', 'softer']",0.3635999858379364,"['seat', 'limited_recline', 'fact', 'seat']",4,"['seat', 'fact', 'limited_recline']",3,"flight, aircraft, plane, window, business_class, passenger, ticket, airline, cabin, luggage"
26971,,"['horrible', 'experience', 'plane', 'narrow', 'impossible', 'walk', 'ended', 'vein', 'thrombosis', 'ive', 'life', 'fly', 'long', 'distances', 'frequently', 'seats', 'cramped', 'im', 'person', 'normal', 'weight', '50d', 'probably', 'best', 'seat', 'choice', 'aisle', 'little', 'wider', 'add', 'poor', 'quality', 'food', 'wont', 'flying', 'swiss']",,"['year', 'seat', 'leg_room', 'seat', 'storage', 'time', 'plane', 'staff', 'palne']",9,"['seat', 'palne', 'staff', 'year', 'leg_room', 'storage', 'plane', 'time']",8,
13504,i,"['comfortable', 'seat', 'seat', 'recline', 'completely', 'flat', 'able', 'stretch', 'hours', 'solid', 'sleep', '212cm', 'tall', 'comfort', 'airplanes', 'difficult', 'sit', 'bulkhead', 'seats', 'sure', 'offer', 'advantage', 'standard', 'business', 'class', 'seat', 'food', 'service', 'excellent', 'aircraft', 'ndjemena', 'paris']",0.7674999833106995,"['11j', 'premium_economy', 'seat', 'recline']",4,"['seat', 'recline', 'premium_economy', '11j']",4,"flight, airline, airport, business_class, plane, experience, cabin, way, bag, day"
12157,g,,0.6606000065803528,"['leg_room', 'wrist', 'screen', 'alignment', 'screen', 'seat', 'seat', 'neck']",8,"['neck', 'seat', 'wrist', 'alignment', 'leg_room', 'screen']",6,"flight, service, aircraft, window, premium_economy, economy, space, cabin, business_class, food"
12940,j,"['flying', 'premium', 'rouge', 'way', 'tolerate', 'garbage', 'air', 'canada', 'seats', 'essentially', 'standard', 'business', 'recliners', 'legroom', 'mainline', 'business', 'class']",0.30640000104904175,"['seat_width', 'leg_rest', 'slightly_reduced', 'screen', 'storage']",5,"['seat_width', 'screen', 'leg_rest', 'slightly_reduced', 'storage']",5,"flight, plane, service, way, aircraft, staff, airline, food, crew, experience"
12580,j,"['seat', 'comfortable', 'bit', 'leg', 'room', 'economy', 'class', 'video', 'annoying', 'hard', 'properly', 'select', 'touch', 'screen', 'finger', 'shows', 'mouse', 'arrow', 'difference', 'selection', 'movie', 'ok', 'hard', 'navigate', 'menus', 'food', 'service', 'basic', 'big', 'airlines', 'provide']",0.357699990272522,"['row', 'seat', 'food_served', 'cabin', 'wait', 'long_time', 'row_numbers', 'queue', 'form', 'departure_gate', 'counter', 'staffed', 'immigration']",13,"['seat', 'food_served', 'row', 'form', 'cabin', 'long_time', 'wait', 'row_numbers', 'queue', 'counter', 'immigration', 'departure_gate', 'staffed']",13,"flight, plane, service, way, aircraft, staff, airline, food, crew, experience"
29412,,"['6ft2', 'person', 'ive', 'difficult', 'economy', 'seat', '77c', 'seat', 'loads', 'leg', 'room', 'upper', 'deck', 'cabin', 'quiet', 'relaxing', 'highly', 'reccomend']",,,0,[],0,
15502,n,"['exit', 'row', '14d', 'seat', '14cd', 'worth', 'sitting', 'tin', 'box', 'unlimited', 'legroommuch', 'restrictive', 'class', 'bulkhead', 'planeannouncements', 'unintelligble', 'static', 'faa', 'violation', 'thank', 'aa', 'attendants', 'flight', 'tolerable', 'despite', 'equipment']",0.5205000042915344,"['seat', '34a', 'aircraft', '41a', 'whats_point', 'paying_extra', 'dont_want']",7,"['seat', '34a', 'whats_point', '41a', 'aircraft', 'paying_extra', 'dont_want']",7,"aircraft, flight, plane, service, space, food, people, economy, airline, premium_economy"
19110,b,"['7kh', 'recommended', 'inmovible', 'armrest', 'inseat', 'monitors', 'crew', 'seat', 'rows', 'curtains']",0.8133000135421753,"['chair', 'wing_view', 'sound', 'engine']",4,"['chair', 'sound', 'engine', 'wing_view']",4,"plane, window, foot, flight, aisle, cabin, passenger, row, business_class, legroom"
